Inference Times(gpt 4o),Web page response time (gpt 4o),General response time (gpt 4o) ,Inference Times(gpt 3.5),Web page response time (gpt 3.5),General response time (gpt 3.5) 
730,787,5551,700,757,5300
640,883,3798,620,863,3600
1150,786,6476,1120,766,6200
690,573,4061,670,553,3900
660,728,7687,630,708,7400
1100,1586,5555,1070,1546,5300
510,1262,8181,490,1222,7900
680,763,5704,660,743,5500
350,1347,5479,330,1307,5200
690,908,3289,670,888,3100
1000,889,3411,970,869,3200
640,1920,5412,620,1880,5200
580,894,4584,560,874,4400
510,1385,6014,490,1345,5700
740,1283,2799,710,1243,2600
350,1056,3033,330,1016,2800
240,1007,2948,220,967,2700
450,974,6103,430,934,5800
490,968,6771,470,928,6500
642.1052632,1052.578947,5097.684211,618.9473684,1021.526316,4857.894737
